DEP,ARR,Dep Date,Best time before departure
AMS,LGW,2018-01-16 10:55:00,British Airways,15:50:51
AMS,LGW,2018-01-16 14:50:00,British Airways,19:45:51
AMS,LGW,2018-01-16 18:55:00,British Airways,23:50:51
AMS,LGW,2018-01-17 10:55:00,British Airways,"1 day, 20:14:07"
AMS,LGW,2018-01-17 14:50:00,British Airways,"2 days, 0:09:07"
AMS,LGW,2018-01-17 18:55:00,British Airways,"2 days, 4:14:07"
AMS,LGW,2018-01-18 10:55:00,British Airways,"2 days, 15:14:15"
AMS,LGW,2018-01-18 14:50:00,British Airways,"2 days, 19:09:15"
AMS,LGW,2018-01-18 18:55:00,British Airways,"2 days, 23:14:15"
AMS,LGW,2018-01-18 21:20:00,British Airways,"3 days, 1:39:15"
AMS,LGW,2018-01-19 10:55:00,British Airways,"3 days, 15:57:23"
AMS,LGW,2018-01-19 14:50:00,British Airways,"3 days, 19:52:23"
AMS,LGW,2018-01-19 18:55:00,British Airways,"3 days, 23:57:23"
AMS,LGW,2018-01-19 21:20:00,British Airways,"4 days, 2:22:23"
AMS,LGW,2018-01-20 10:55:00,British Airways,"4 days, 22:51:24"
AMS,LGW,2018-01-20 15:30:00,British Airways,"5 days, 3:26:24"
AMS,LGW,2018-01-20 20:45:00,British Airways,"5 days, 8:41:24"
AMS,LGW,2018-01-21 10:50:00,British Airways,"5 days, 19:24:53"
AMS,LGW,2018-01-21 16:50:00,British Airways,"6 days, 1:24:53"
AMS,LGW,2018-01-21 21:40:00,British Airways,"6 days, 6:14:53"
AMS,LGW,2018-01-22 10:55:00,British Airways,"6 days, 21:32:05"
AMS,LGW,2018-01-22 14:50:00,British Airways,"7 days, 1:27:05"
AMS,LGW,2018-01-22 18:55:00,British Airways,"7 days, 5:32:05"
AMS,LGW,2018-01-23 10:55:00,British Airways,"7 days, 22:03:47"
AMS,LGW,2018-01-23 14:50:00,British Airways,"8 days, 1:58:47"
AMS,LGW,2018-01-23 18:55:00,British Airways,"8 days, 6:03:47"
AMS,LGW,2018-01-24 10:55:00,British Airways,"8 days, 20:24:04"
AMS,LGW,2018-01-24 14:50:00,British Airways,"9 days, 0:19:04"
AMS,LGW,2018-01-24 18:55:00,British Airways,"9 days, 4:24:04"
AMS,LGW,2018-01-25 10:55:00,British Airways,"10 days, 1:19:50"
AMS,LGW,2018-01-25 14:50:00,British Airways,"10 days, 5:14:50"
AMS,LGW,2018-01-25 18:55:00,British Airways,"10 days, 9:19:50"
AMS,LGW,2018-01-25 21:20:00,British Airways,"10 days, 11:44:50"
AMS,LGW,2018-01-26 10:55:00,British Airways,"10 days, 23:27:22"
AMS,LGW,2018-01-26 14:50:00,British Airways,"11 days, 3:22:22"
AMS,LGW,2018-01-26 18:55:00,British Airways,"11 days, 7:27:22"
AMS,LGW,2018-01-26 21:20:00,British Airways,"11 days, 9:52:22"
AMS,LGW,2018-01-27 10:55:00,British Airways,"12 days, 11:12:47"
AMS,LGW,2018-01-27 15:30:00,British Airways,"12 days, 15:47:47"
AMS,LGW,2018-01-27 20:45:00,British Airways,"12 days, 21:02:47"
AMS,LGW,2018-01-28 10:50:00,British Airways,"13 days, 0:07:44"
AMS,LGW,2018-01-28 16:50:00,British Airways,"13 days, 6:07:44"
AMS,LGW,2018-01-28 21:40:00,British Airways,"13 days, 10:57:44"
AMS,LGW,2018-01-29 10:55:00,British Airways,"13 days, 18:49:47"
AMS,LGW,2018-01-29 14:50:00,British Airways,"13 days, 22:44:47"
AMS,LGW,2018-01-29 18:55:00,British Airways,"14 days, 2:49:47"
AMS,LGW,2018-01-30 10:55:00,British Airways,"14 days, 16:13:51"
AMS,LGW,2018-01-30 14:50:00,British Airways,"14 days, 20:08:51"
AMS,LGW,2018-01-30 18:55:00,British Airways,"15 days, 0:13:51"
AMS,LGW,2018-01-31 10:55:00,British Airways,"16 days, 11:05:12"
AMS,LGW,2018-01-31 14:50:00,British Airways,"16 days, 15:00:12"
AMS,LGW,2018-01-31 18:55:00,British Airways,"16 days, 19:05:12"
AMS,LGW,2018-02-01 10:55:00,British Airways,"16 days, 21:34:26"
AMS,LGW,2018-02-01 14:50:00,British Airways,"17 days, 1:29:26"
AMS,LGW,2018-02-01 18:55:00,British Airways,"17 days, 5:34:26"
AMS,LGW,2018-02-01 21:20:00,British Airways,"17 days, 7:59:26"
AMS,LGW,2018-02-02 10:55:00,British Airways,"17 days, 21:37:55"
AMS,LGW,2018-02-02 14:50:00,British Airways,"18 days, 1:32:55"
AMS,LGW,2018-02-02 18:55:00,British Airways,"18 days, 5:37:55"
AMS,LGW,2018-02-02 21:20:00,British Airways,"18 days, 8:02:55"
AMS,LGW,2018-02-03 10:55:00,British Airways,"18 days, 18:30:36"
AMS,LGW,2018-02-03 15:30:00,British Airways,"18 days, 23:05:36"
AMS,LGW,2018-02-03 20:45:00,British Airways,"19 days, 4:20:36"
AMS,LGW,2018-02-04 10:50:00,British Airways,"19 days, 20:39:47"
AMS,LGW,2018-02-04 16:50:00,British Airways,"20 days, 2:39:47"
AMS,LGW,2018-02-04 21:40:00,British Airways,"20 days, 7:29:47"
AMS,LGW,2018-02-05 10:55:00,British Airways,"20 days, 21:38:30"
AMS,LGW,2018-02-05 14:50:00,British Airways,"21 days, 1:33:30"
AMS,LGW,2018-02-05 18:55:00,British Airways,"21 days, 5:38:30"
AMS,LGW,2018-02-06 10:55:00,British Airways,"21 days, 22:39:35"
AMS,LGW,2018-02-06 14:50:00,British Airways,"22 days, 2:34:35"
AMS,LGW,2018-02-06 18:55:00,British Airways,"22 days, 6:39:35"
AMS,LGW,2018-02-07 10:55:00,British Airways,"23 days, 11:36:08"
AMS,LGW,2018-02-07 14:50:00,British Airways,"23 days, 15:31:08"
AMS,LGW,2018-02-07 18:55:00,British Airways,"23 days, 19:36:08"
AMS,LGW,2018-02-08 10:55:00,British Airways,"24 days, 0:04:26"
AMS,LGW,2018-02-08 14:50:00,British Airways,"24 days, 3:59:26"
AMS,LGW,2018-02-08 18:55:00,British Airways,"24 days, 8:04:26"
AMS,LGW,2018-02-08 21:20:00,British Airways,"24 days, 10:29:26"
AMS,LGW,2018-02-09 10:55:00,British Airways,"24 days, 20:55:53"
AMS,LGW,2018-02-09 14:50:00,British Airways,"25 days, 0:50:53"
AMS,LGW,2018-02-09 18:55:00,British Airways,"25 days, 4:55:53"
AMS,LGW,2018-02-09 21:20:00,British Airways,"25 days, 7:20:53"
AMS,LGW,2018-02-10 10:55:00,British Airways,"25 days, 22:21:50"
AMS,LGW,2018-02-10 15:30:00,British Airways,"26 days, 2:56:50"
AMS,LGW,2018-02-10 20:45:00,British Airways,"26 days, 8:11:50"
AMS,LGW,2018-02-11 10:50:00,British Airways,"26 days, 23:24:07"
AMS,LGW,2018-02-11 16:50:00,British Airways,"27 days, 5:24:07"
AMS,LGW,2018-02-11 21:40:00,British Airways,"27 days, 10:14:07"
AMS,LGW,2018-02-12 10:55:00,British Airways,"27 days, 19:41:08"
AMS,LGW,2018-02-12 14:50:00,British Airways,"27 days, 23:36:08"
AMS,LGW,2018-02-12 18:55:00,British Airways,"28 days, 3:41:08"
AMS,LGW,2018-02-13 10:55:00,British Airways,"28 days, 18:12:12"
AMS,LGW,2018-02-13 14:50:00,British Airways,"28 days, 22:07:12"
AMS,LGW,2018-02-13 18:55:00,British Airways,"29 days, 2:12:12"
AMS,LGW,2018-02-14 10:55:00,British Airways,"29 days, 15:37:56"
AMS,LGW,2018-02-14 14:50:00,British Airways,"29 days, 19:32:56"
AMS,LGW,2018-02-14 18:55:00,British Airways,"29 days, 23:37:56"
AMS,LGW,2018-02-15 10:55:00,British Airways,"30 days, 18:34:13"
AMS,LGW,2018-02-15 14:50:00,British Airways,"30 days, 22:29:13"
AMS,LGW,2018-02-15 18:55:00,British Airways,"31 days, 2:34:13"
AMS,LGW,2018-02-15 21:20:00,British Airways,"31 days, 4:59:13"
AMS,LGW,2018-02-16 10:55:00,British Airways,"32 days, 1:13:54"
AMS,LGW,2018-02-16 14:50:00,British Airways,"32 days, 5:08:54"
AMS,LGW,2018-02-16 18:55:00,British Airways,"32 days, 9:13:54"
AMS,LGW,2018-02-16 21:20:00,British Airways,"32 days, 11:38:54"
AMS,LGW,2018-02-17 10:55:00,British Airways,"32 days, 15:59:09"
AMS,LGW,2018-02-17 15:30:00,British Airways,"32 days, 20:34:09"
AMS,LGW,2018-02-17 20:45:00,British Airways,"33 days, 1:49:09"
AMS,LGW,2018-02-18 10:50:00,British Airways,"33 days, 18:10:14"
AMS,LGW,2018-02-18 16:50:00,British Airways,"34 days, 0:10:14"
AMS,LGW,2018-02-18 21:40:00,British Airways,"34 days, 5:00:14"
AMS,LGW,2018-02-19 10:55:00,British Airways,"35 days, 0:28:37"
AMS,LGW,2018-02-19 14:50:00,British Airways,"35 days, 4:23:37"
AMS,LGW,2018-02-19 18:55:00,British Airways,"35 days, 8:28:37"
AMS,LGW,2018-02-20 10:55:00,British Airways,"36 days, 1:34:46"
AMS,LGW,2018-02-20 14:50:00,British Airways,"36 days, 5:29:46"
AMS,LGW,2018-02-20 18:55:00,British Airways,"36 days, 9:34:46"
AMS,LGW,2018-02-21 10:55:00,British Airways,"36 days, 20:29:22"
AMS,LGW,2018-02-21 14:50:00,British Airways,"37 days, 0:24:22"
AMS,LGW,2018-02-21 18:55:00,British Airways,"37 days, 4:29:22"
AMS,LGW,2018-02-22 10:55:00,British Airways,"38 days, 10:54:09"
AMS,LGW,2018-02-22 14:50:00,British Airways,"38 days, 14:49:09"
AMS,LGW,2018-02-22 18:55:00,British Airways,"38 days, 18:54:09"
AMS,LGW,2018-02-22 21:20:00,British Airways,"38 days, 21:19:09"
AMS,LGW,2018-02-23 10:55:00,British Airways,"38 days, 19:23:57"
AMS,LGW,2018-02-23 14:50:00,British Airways,"38 days, 23:18:57"
AMS,LGW,2018-02-23 18:55:00,British Airways,"39 days, 3:23:57"
AMS,LGW,2018-02-23 21:20:00,British Airways,"39 days, 5:48:57"
AMS,LGW,2018-02-24 10:55:00,British Airways,"39 days, 21:15:12"
AMS,LGW,2018-02-24 15:30:00,British Airways,"40 days, 1:50:12"
AMS,LGW,2018-02-24 20:45:00,British Airways,"40 days, 7:05:12"
AMS,LGW,2018-02-25 10:50:00,British Airways,"40 days, 16:33:48"
AMS,LGW,2018-02-25 16:50:00,British Airways,"40 days, 22:33:48"
AMS,LGW,2018-02-25 21:40:00,British Airways,"41 days, 3:23:48"
AMS,LGW,2018-02-26 10:55:00,British Airways,"41 days, 18:49:09"
AMS,LGW,2018-02-26 14:50:00,British Airways,"41 days, 22:44:09"
AMS,LGW,2018-02-26 18:55:00,British Airways,"42 days, 2:49:09"
AMS,LGW,2018-02-27 10:55:00,British Airways,"42 days, 22:14:15"
AMS,LGW,2018-02-27 14:50:00,British Airways,"43 days, 2:09:15"
AMS,LGW,2018-02-27 18:55:00,British Airways,"43 days, 6:14:15"
AMS,LGW,2018-02-28 10:55:00,British Airways,"43 days, 17:15:33"
AMS,LGW,2018-02-28 14:50:00,British Airways,"43 days, 21:10:33"
AMS,LGW,2018-02-28 18:55:00,British Airways,"44 days, 1:15:33"
AMS,LGW,2018-03-01 10:55:00,British Airways,"44 days, 20:43:02"
AMS,LGW,2018-03-01 14:50:00,British Airways,"45 days, 0:38:02"
AMS,LGW,2018-03-01 18:55:00,British Airways,"45 days, 4:43:02"
AMS,LGW,2018-03-01 21:20:00,British Airways,"45 days, 7:08:02"
AMS,LGW,2018-03-02 10:55:00,British Airways,"45 days, 17:56:13"
AMS,LGW,2018-03-02 14:50:00,British Airways,"45 days, 21:51:13"
AMS,LGW,2018-03-02 18:55:00,British Airways,"46 days, 1:56:13"
AMS,LGW,2018-03-02 21:20:00,British Airways,"46 days, 4:21:13"
AMS,LGW,2018-03-03 10:55:00,British Airways,"46 days, 23:46:14"
AMS,LGW,2018-03-03 15:30:00,British Airways,"47 days, 4:21:14"
AMS,LGW,2018-03-03 20:45:00,British Airways,"47 days, 9:36:14"
AMS,LGW,2018-03-04 10:50:00,British Airways,"47 days, 18:33:21"
AMS,LGW,2018-03-04 16:50:00,British Airways,"48 days, 0:33:21"
AMS,LGW,2018-03-04 21:40:00,British Airways,"48 days, 5:23:21"
AMS,LGW,2018-03-05 10:55:00,British Airways,"48 days, 22:08:26"
AMS,LGW,2018-03-05 14:50:00,British Airways,"49 days, 2:03:26"
AMS,LGW,2018-03-05 18:55:00,British Airways,"49 days, 6:08:26"
AMS,LGW,2018-03-06 10:55:00,British Airways,"49 days, 23:12:02"
AMS,LGW,2018-03-06 14:50:00,British Airways,"50 days, 3:07:02"
AMS,LGW,2018-03-06 18:55:00,British Airways,"50 days, 7:12:02"
AMS,LGW,2018-03-07 10:55:00,British Airways,"50 days, 18:48:34"
AMS,LGW,2018-03-07 14:50:00,British Airways,"50 days, 22:43:34"
AMS,LGW,2018-03-07 18:55:00,British Airways,"51 days, 2:48:34"
AMS,LGW,2018-03-08 10:55:00,British Airways,"51 days, 23:39:07"
AMS,LGW,2018-03-08 14:50:00,British Airways,"52 days, 3:34:07"
AMS,LGW,2018-03-08 18:55:00,British Airways,"52 days, 7:39:07"
AMS,LGW,2018-03-08 21:20:00,British Airways,"52 days, 10:04:07"
AMS,LGW,2018-03-09 10:55:00,British Airways,"53 days, 1:15:43"
AMS,LGW,2018-03-09 14:50:00,British Airways,"53 days, 5:10:43"
